City,Count,Latitude,Longitude
Ruffec ,1,46.0287057,0.1994619
Saint-Trivier-sur-Moignans ,1,46.071982,4.8979906
Rossignol Voiron ,1,,
Altkirch ,1,47.6238204,7.2401542
Freiburg (West Germany),1,48.012025699999995,7.820048852072269
Jaunay-Clan ,1,46.6945306,0.36249102317505283
Morcenx ,1,44.0323042,-0.9113736
Vi,1,17.789187,-64.7080574
Oloron-Sainte-Marie ,1,43.1922408,-0.6115586
Revel,1,43.4582102,2.005589
Castelnaudary ,1,43.3192021,1.9533495
Tulle ,1,45.2678347,1.7706797
Lacanau ,1,44.9776088,-1.0784851
Le Barcarès ,1,42.7946794,3.0335243
Montgenèvre ,1,44.9300126,6.7184146
Valentigney ,1,47.4622925,6.8308784
Bas,1,40.500571,16.081953
Limoges,1,45.8354243,1.2644847
Ciney (Belgium) ,1,50.2964911,5.1008664
Saint-Jean-de-Monts ,1,46.7936111,-2.0588889
Saint-Jean-de-Monts,1,46.7936111,-2.0588889
Pouilly-en-Auxois ,1,47.2622415,4.5561961
Saarlouis (West Germany) ,1,,
Barcelonnette ,1,44.3862043,6.6513554
Sens ,1,48.1978559,3.282606
Fontenay-sous-Bois,1,48.8490721,2.4749347
Nogent-sur-Marne ,1,48.8387639,2.4916592
Dover (United Kingdom) ,1,51.1251275,1.3134228
Viry-Châtillon ,1,48.6708729,2.3750351
Isola ,1,45.5398936,13.65939
Lac de Madine,1,48.91700605,5.749502258220149
Péronne ,1,49.9289578,2.9321899
Montjuïc circuit (Spain),1,41.3662481,2.1569877
La Défense ,1,48.891008,2.2412078
La Bourboule ,1,45.5892481,2.7401614
