,Year,Type,Distance_km,Stage
622,1948,Stage with mountains,274.0,1
623,1949,Individual time trial,92.0,1
624,1949,Mountain time trial,137.0,1
625,1949,Flat,134.0,1
626,1949,Flat,182.0,1
627,1949,Flat,185.0,1
628,1949,Flat,192.0,1
629,1949,Flat,199.0,1
630,1949,Flat,211.0,1
631,1949,Flat,215.0,1
632,1949,Flat,228.0,1
633,1949,Flat,262.0,1
634,1949,Flat,273.0,1
635,1949,Flat,289.0,1
636,1949,Flat,293.0,1
637,1949,Flat,305.0,1
638,1949,Flat,340.0,1
639,1949,Stage with mountains,193.0,1
640,1949,Stage with mountains,257.0,1
641,1949,Stage with mountains,265.0,1
642,1949,Stage with mountains,275.0,1
643,1949,Stage with mountains,283.0,1
644,1950,Individual time trial,78.0,1
645,1950,Mountain time trial,98.0,1
646,1950,Flat,181.0,1
647,1950,Flat,202.0,1
648,1950,Flat,206.0,1
649,1950,Flat,215.0,1
650,1950,Flat,222.0,1
651,1950,Flat,231.0,1
652,1950,Flat,232.5,1
653,1950,Flat,233.0,2
654,1950,Flat,241.0,1
655,1950,Flat,248.0,1
656,1950,Flat,307.0,1
657,1950,Flat,314.0,1
658,1950,Flat,316.0,1
659,1950,Stage with mountains,96.0,1
660,1950,Stage with mountains,165.0,1
661,1950,Stage with mountains,205.5,1
662,1950,Stage with mountains,229.0,1
663,1950,Stage with mountains,230.0,1
664,1950,Stage with mountains,291.0,1
665,1951,Individual time trial,85.0,1
666,1951,Individual time trial,97.0,1
667,1951,Flat,173.0,1
668,1951,Flat,177.0,1
669,1951,Flat,182.0,1
670,1951,Flat,185.0,2
671,1951,Flat,188.0,1
672,1951,Flat,192.0,1
673,1951,Flat,215.0,1
674,1951,Flat,219.0,1
675,1951,Flat,228.0,1
676,1951,Flat,241.0,1
677,1951,Flat,322.0,1
678,1951,Stage with mountains,142.0,1
679,1951,Stage with mountains,165.0,1
680,1951,Stage with mountains,197.0,1
681,1951,Stage with mountains,201.0,2
682,1951,Stage with mountains,208.0,1
683,1951,Stage with mountains,213.0,1
684,1951,Stage with mountains,216.0,1
685,1951,Stage with mountains,224.0,1
686,1951,Stage with mountains,236.0,1
687,1952,Individual time trial,60.0,1
688,1952,Individual time trial,63.0,1
689,1952,Flat,181.0,1
690,1952,Flat,189.0,1
691,1952,Flat,195.0,1
692,1952,Flat,197.0,1
693,1952,Flat,200.0,1
694,1952,Flat,214.0,1
695,1952,Flat,228.0,2
696,1952,Flat,232.0,1
697,1952,Flat,246.0,1
698,1952,Flat,275.0,1
699,1952,Flat,354.0,1
700,1952,Stage with mountains,149.0,1
701,1952,Stage with mountains,178.0,1
702,1952,Stage with mountains,182.0,1
703,1952,Stage with mountains,204.0,1
704,1952,Stage with mountains,238.0,1
705,1952,Stage with mountains,245.0,1
706,1952,Stage with mountains,251.0,1
707,1952,Stage with mountains,252.0,1
708,1952,Stage with mountains,266.0,1
709,1953,Individual time trial,70.0,1
710,1953,Flat,173.0,1
711,1953,Flat,181.0,1
712,1953,Flat,188.0,1
